name
アフガニスタン
アルバニア
アルジェリア
サモア
アンドラ
アンゴラ
アンギラ
南極
アンティグア・バーブーダ
アルゼンチン
アルメニア
アルバ
オーストラリア
オーストリア
アゼルバイジャン
バハマ
バーレーン
バングラデシュ
バルバドス
ベラルーシ
ベルギー
ベリーズ
ベナン
バミューダ諸島
ブータン
ボリビア
ボスニア・ヘルツェゴビナ
ボツワナ
ブーベ島
ブラジル
英領インド洋地域
ブルネイ
ブルガリア
ブルキナファソ
ブルンジ
コートジボワール
カンボジア
カメルーン
カナダ
カーボベルデ
ケイマン諸島
中央アフリカ共和国
チャド
チャンネル諸島
チリ
中華人民共和国
クリスマス島
ココス諸島/キーリング諸島
コロンビア
コモロ
コンゴ共和国
コンゴ民主共和国
クック諸島
珊瑚海諸島地域
コスタリカ
クロアチア
キューバ
キプロス
チェコ共和国
デンマーク
ジブチ
ドミニカ
ドミニカ共和国
東ティモール
エクアドル
エジプト
エルサルバドル
赤道ギニア
エリトリア
エストニア
エチオピア
フォークランド
フェロー諸島
フィジー諸島
フィンランド
フランス
フランス領自治区
フランス領ギアナ
フランス領ポリネシア
フランス領南極地方
ガボン
ガンビア
ガザ地区
グルジア
ドイツ
ガーナ
ジブラルタル
ギリシャ
グリーンランド
グレナダ
グアドループ
グアム
グアテマラ
ガーンジー島
ギニア
ギニアビサウ
ガイアナ
ハイチ
ハード・マクドナルド諸島
ホンジュラス
香港
ハンガリー
アイスランド
インド
インドネシア
イラン
イラク
アイルランド
イスラエル
イタリア
ジャマイカ
日本
ジャージー島
ヨルダン
カザフスタン
ケニア
キリバス
大韓民国
クウェート
キルギス
ラオス
ラトビア
レバノン
レソト
リベリア
リビア
リヒテンシュタイン
リトアニア
ルクセンブルグ
マカオ
マケドニア旧ユーゴスラビア共和国
マダガスカル
マラウイ
マレーシア
モルディブ
マリ
マルタ
マン島
マーシャル諸島
マルチニーク島
モーリタニア
モーリシャス
マイヨット島
メキシコ
ミクロネシア
モルドバ
モナコ
モンゴル
モンセラット
モロッコ
モザンビーク
ミャンマー
ナミビア
ナウル
ネパール
オランダ領アンティル
オランダ
ニューカレドニア
ニュージーランド
ニカラグア
ニジェール
ナイジェリア
ニウエ
ノーフォーク島
朝鮮民主主義人民共和国
北マリアナ諸島
ノルウェー
オマーン
パキスタン
パラオ
パナマ
パプアニューギニア
パラグアイ
ペルー
フィリピン
ピトケアン
ポーランド
ポルトガル
プエルトリコ
カタール
レユニオン
ルーマニア
ロシア
ルワンダ
サントメ・プリンシペ
サモア
サンマリノ
サウジアラビア
セネガル
セイシェル
シエラレオネ
シンガポール
スロバキア
スロベニア
ソロモン諸島
ソマリア
南アフリカ
サウスジョージア・サウスサンドウィッチ諸島
スペイン
スリランカ
セントヘレナ
セントクリストファー・ネイビス
セントルシア
サンピエール・ミクロン
セントビンセント
スーダン
スリナム
スバールバル諸島およびヤンマイエン島
スワジランド
スウェーデン
スイス
シリア
台湾
タジキスタン
タンザニア
タイ
トーゴ
トケラウ諸島
トンガ
トリニダード・トバゴ
チュニジア
トルコ
トルクメニスタン
タークス・カイコス諸島
ツバル
米領オセアニア諸島
ウガンダ
ウクライナ
アラブ首長国連邦
英国
米国
ウルグアイ
ウズベキスタン
バヌアツ
バチカン
ベネズエラ
ベトナム
バージン諸島
英領バージン諸島
ワリス・フテュナ諸島
イエメン
ユーゴスラビア
ザンビア
ジンバブエ
